,Image,Accuracy,F1,Jaccard,Recall,Precision
0,new_data\test\image\adult-baby-background-bump-41286_0,0.973175048828125,0.9823017758627632,0.9652191116826591,0.9702869871323164,0.9946178467309535
1,new_data\test\image\adult-caucasian-child-daughter-41316_0,0.98089599609375,0.9845546508758944,0.9695791622120712,0.9932050675759763,0.9760536164175819
2,new_data\test\image\aircraft-women-fashion-pilot-48797_0,0.99188232421875,0.9959234965978054,0.991880094019964,0.996121951593372,0.9957251206619168
3,new_data\test\image\american-football-football-football-player-quarterback-159819_0,0.9851531982421875,0.9885079192601604,0.9772769733769266,0.9928584986238967,0.9841953009242926
4,new_data\test\image\american-football-referees-american-football-football-referees-decision-making-163454_0,0.9729766845703125,0.9848150974457468,0.9700844594594594,0.9975854641467482,0.9723675521918017
5,new_data\test\image\baby-boy-child-cuddle-40975_0,0.9999542236328125,0.9999771112925253,0.9999542236328125,1.0,0.9999542236328125
6,new_data\test\image\baby-child-cute-doll-41307_0,0.959991455078125,0.9740990990990991,0.9495060373216246,0.9938720796629644,0.9550975340449025
7,new_data\test\image\ball-bauble-christmas-decoration-41516_0,0.9854278564453125,0.9882419571293138,0.9767572040498442,0.9885462338046209,0.9879378677104104
8,new_data\test\image\ballerina-in-the-city-girl-beautiful-cute-161000_0,0.95599365234375,0.8077845907757931,0.6775491949910555,0.7067879636109167,0.942457231726283
9,new_data\test\image\baseball-player-running-sport-163209_0,0.9949951171875,0.9956890886628289,0.9914151856989557,0.9951659091506188,0.996212818557189
10,new_data\test\image\bass-guitar-musician-instrument-guitarist-159260_0,0.8200836181640625,0.900397867901099,0.818839689026826,0.9907791266196947,0.8251277287505806
11,new_data\test\image\beautiful-cute-dress-eyes-41537_0,1.0,1.0,1.0,1.0,1.0
12,new_data\test\image\beautiful-face-female-girl-41533_0,0.9924468994140625,0.9962090171781303,0.9924466689046907,0.9924466689046907,1.0
13,new_data\test\image\beautiful-woman-picnic-spring-vintage-val_0,0.9866180419921875,0.9926111902134077,0.9853307685874383,0.9928370384103281,0.9923854447439353
14,new_data\test\image\beverage-diet-drink-female-41556_0,0.9449462890625,0.9609202374247217,0.9247800525372138,0.9306590017413927,0.9932155571975549
15,new_data\test\image\black-and-white-silhouette-girl-playful-463193_0,0.9969940185546875,0.987516633926874,0.9753410940042558,0.9859547007465519,0.989083523736989
16,new_data\test\image\black-white-bw-nature-dress-157915_0,0.9959259033203125,0.9974669613972507,0.9949467229403638,0.9983477980135594,0.9965876777251185
17,new_data\test\image\box-christmas-claus-cute-41940_0,0.9449920654296875,0.970624424507623,0.9429254468597121,0.9834057097567822,0.9581711123266514
18,new_data\test\image\boy-child-fun-beach_0,0.9859466552734375,0.992847990681421,0.9857975573649149,0.9858279616321747,0.9999687152935287
19,new_data\test\image\boy-child-sad-alone-158305_0,0.9899749755859375,0.9914656482600055,0.9830757341576507,0.987987677013488,0.9949681927208259
20,new_data\test\image\brunette-cute-fashion-female-41366_0,0.999725341796875,0.9998626520365651,0.999725341796875,0.9998626520365651,0.9998626520365651
21,new_data\test\image\building-joy-planning-plans_0,0.9918060302734375,0.9028054298642534,0.8228307489277467,0.8414304993252362,0.97383834439672
22,new_data\test\image\call-calling-cell-cellphone-41515_0,0.9829864501953125,0.9914202390021315,0.9829864501953125,1.0,0.9829864501953125
23,new_data\test\image\child-girl-read-learn-159543_0,0.84033203125,0.8949059938936205,0.8098007852261161,0.9437783332627209,0.8508460333829877
24,new_data\test\image\cold-person-woman-water_0,0.9104766845703125,0.9522996495849493,0.9089427613608145,0.9995050687783732,0.9093520488176017
25,new_data\test\image\cute-dive-fun-goggles-41517_0,0.9740142822265625,0.9868302000603197,0.9740027783290336,0.9740027783290336,1.0
26,new_data\test\image\desk-office-workspace-coworking_0,0.98382568359375,0.9902170702894271,0.980623697583446,0.9995900722963404,0.9810182137371077
27,new_data\test\image\dirt-bike-motorcycle-exhaust-67557_0,0.7047576904296875,0.4637343754330534,0.3018581995309399,0.9772222871159911,0.30399709302325584
28,new_data\test\image\dog-dog-advisor-non-fiction-cocktail_0,0.9858245849609375,0.8974047487575925,0.8139022435897436,0.827326410099776,0.980453667953668
29,new_data\test\image\dots-dotted-color-cute-41512_0,0.8014068603515625,0.885996338568538,0.7953262356696913,0.9906564024211083,0.8013373051083788
30,new_data\test\image\fashion-woman-model-portrait_0,0.991119384765625,0.9952561051155815,0.990557006798306,0.9941864252214695,0.9963280893008682
31,new_data\test\image\food-man-person-eating_0,0.9307098388671875,0.9606502543305517,0.9242800686998716,0.9260713390694177,0.997911640802218
32,new_data\test\image\football-american-football-game-sport-163294_0,0.84075927734375,0.8764619536909891,0.7800910316925151,0.7954789634277365,0.9758026253360746
33,new_data\test\image\football-american-football-quarterback-runner-163439_0,0.9456634521484375,0.9673029777153404,0.9366764470525474,0.9946560416942047,0.9414140692021733
34,new_data\test\image\football-american-football-referee-referee-football-official-163039_0,0.99609375,0.9976863985539991,0.9953834779002038,0.9984804905844684,0.9968935686033701
35,new_data\test\image\girl-bicycle-garden-people-630770_0,0.9708709716796875,0.9748706675266893,0.9509733422363758,0.9540114391714329,0.9966624498694587
36,new_data\test\image\girl-blonde-wreath-water-160526_0,0.9730987548828125,0.9726941841555022,0.9468399469304065,0.9907553480153972,0.955279729853062
37,new_data\test\image\girl-cascada-water-waves-160588_0,0.981292724609375,0.9825385973907594,0.9656765306979479,0.9756463200769361,0.9895289460095243
38,new_data\test\image\girl-cat-kitten-fashion_0,0.996795654296875,0.9978416378885052,0.995692572764753,0.9981083581782667,0.9975750601097388
39,new_data\test\image\girl-dance-dress-flowers-163508_0,0.9925079345703125,0.9903283629129158,0.9808420149049905,0.9905039599669018,0.9901528281077675
40,new_data\test\image\girl-forest-nature-stroll-160627_0,0.989471435546875,0.9940433026002279,0.9881571494773699,1.0,0.9881571494773699
41,new_data\test\image\girl-in-leather-jacket-beautiful-hair-model-160974_0,0.9941253662109375,0.9950696018543419,0.990187582832093,0.9973302528558593,0.992819176121844
42,new_data\test\image\girl-model-blonde-slav-157666_0,0.9643402099609375,0.9753171174786917,0.9518233729823332,0.9992209141274239,0.9525302745858519
43,new_data\test\image\girl-park-woman-greens-157854_0,0.899871826171875,0.8970795821700807,0.8133674630261661,0.9783783783783784,0.8282553290083411
44,new_data\test\image\girl-peasant-woman-tradition-water-158007_0,0.98779296875,0.9895471293804061,0.979310523185145,1.0,0.979310523185145
45,new_data\test\image\girl-portrait-face-woman-122426_0,0.985107421875,0.9904279941940293,0.9810374975714008,0.9810565583166566,0.9999801960590158
46,new_data\test\image\girl-rustic-grass-meadow-89779_0,0.999786376953125,0.9998931770666423,0.999786376953125,0.999786376953125,1.0
47,new_data\test\image\girl-sunset-lake-water-160534_0,0.987396240234375,0.9914119359534207,0.9829701255592438,0.9925884287885413,0.9902382287577627
48,new_data\test\image\girl-water-wet-summer-122436_0,1.0,0.0,0.0,0.0,0.0
49,new_data\test\image\girl-wild-water-rock-160440_0,0.9610137939453125,0.9616958757477175,0.9262179098443502,0.9941727109292666,0.9312737725385442
50,new_data\test\image\girl-woman-portrait-young-115015_0,1.0,1.0,1.0,1.0,1.0
51,new_data\test\image\girl-young-blue-eyes-eyes-39295_0,0.9680938720703125,0.979374019748069,0.959581706421309,0.9883334328774214,0.9705755845780871
52,new_data\test\image\girls-children-kids-friends-50581_0,0.979949951171875,0.9868082884908843,0.9739600879887438,0.9989024613320867,0.9750034717400361
53,new_data\test\image\girls-women-happy-sexy-53364_0,0.98614501953125,0.9783200420228261,0.9575601776115915,0.9805207236527232,0.9761292166952544
54,new_data\test\image\glamour-style-hat-woman-37649_0,0.97125244140625,0.9854166021611914,0.97125244140625,1.0,0.97125244140625
55,new_data\test\image\hammer-throw-athlete-track-and-field-training-37636_0,0.9937591552734375,0.9907346578166414,0.9816394325731729,0.9950400436840189,0.9864663689267831
56,new_data\test\image\hanging-out-trainer-young-79990_fk4fhyJJPf_0,0.9866180419921875,0.9827127397449291,0.9660130212370175,0.9779129070223617,0.9875599223485599
57,new_data\test\image\hiker-traveler-trip-travel-160483_0,0.989776611328125,0.9712100378136816,0.9440314092389942,0.9953320415712524,0.9482295687195839
58,new_data\test\image\james-stewart-man-person-actor-53487_0,0.986572265625,0.9931496185583061,0.9863924539972166,0.9864382142360091,0.9999529728967128
59,new_data\test\image\kickboxer-girl-kickboxing-athletic-girl-160920_0,0.9897613525390625,0.9762385353589008,0.9535800760982359,0.9747542606604908,0.977727337210952
60,new_data\test\image\love-old-people-the-heart-of-pension-160936_0,0.9887237548828125,0.17245240761478164,0.09436274509803921,0.3532110091743119,0.11407407407407408
61,new_data\test\image\man-selling-razors-black-and-white-older-68655_0,0.9950714111328125,0.9963823710589684,0.9927908222480135,0.9997302946530915,0.9930567958564029
62,new_data\test\image\man-stress-male-face_0,0.9196624755859375,0.9581342090824514,0.9196330443277567,0.9196330443277567,1.0
63,new_data\test\image\maternity-baby-belly-pregnant-pregnancy-160776_0,0.9729461669921875,0.9848273501347824,0.9701082375155949,0.9821126832681902,0.9875570658703189
64,new_data\test\image\model-fashion-girl-female-39678_0,0.9981842041015625,0.9990361172535012,0.998074090857596,0.9981710179175501,0.9999027174265517
65,new_data\test\image\motorbike-racing-motorcycle-race-51388_0,0.872344970703125,0.7136696556916969,0.5548105576841209,0.6093512565751023,0.8610835811034027
66,new_data\test\image\motorcycle-stunt-jump-motocross-38277_0,0.86016845703125,0.34654877353108954,0.2095911678454373,0.21550195104647038,0.8842794759825328
67,new_data\test\image\norway-mountain-sky-blue_0,0.99432373046875,0.9810126582278481,0.9627329192546584,0.9681644166834575,0.9942064969997931
68,new_data\test\image\nymph-forest-nature-elf_0,0.943756103515625,0.9678757560439943,0.9377512074847164,0.9582880317542497,0.977657270630491
69,new_data\test\image\peasant-farmer-farmer-romania-botiza-47862_0,0.921600341796875,0.9592008512395381,0.921600341796875,0.921600341796875,1.0
70,new_data\test\image\people-man-model-glasses-46503_0,0.992950439453125,0.9943386515697376,0.9887410440122825,0.9993841909500703,0.9893438025799215
71,new_data\test\image\people-mother-family-father_0,0.984405517578125,0.9894543503384514,0.9791288010292646,0.9917056219749307,0.9872132767779929
72,new_data\test\image\person-woman-eyes-face_0,1.0,1.0,1.0,1.0,1.0
73,new_data\test\image\person-woman-girl_0,0.996490478515625,0.9774907026815424,0.9559724349157733,0.9803690616411465,0.9746291959406713
74,new_data\test\image\person-woman-music-musician_0,0.986297607421875,0.9878405459567784,0.9759732441471571,0.9919506159410437,0.9837643949405324
75,new_data\test\image\pexels-photo-106684_0,0.9913787841796875,0.9701673794814932,0.9420631665299426,0.9724780353551392,0.9678676780446692
76,new_data\test\image\pexels-photo-108155_0,0.972625732421875,0.9684809726272884,0.9388881318980787,0.9896944234981507,0.948157831366748
77,new_data\test\image\pexels-photo-108261_0,0.9951629638671875,0.9451651963328144,0.8960314857330273,0.9088489687292083,0.9845045045045046
78,new_data\test\image\pexels-photo-10988_0,0.9855194091796875,0.9870597379221948,0.9744500982688528,0.9921328910939942,0.9820382027349686
79,new_data\test\image\pexels-photo-112362_0,0.621185302734375,0.0,0.0,0.0,0.0
80,new_data\test\image\pexels-photo-116079_0,0.900299072265625,0.9132731616671091,0.8403888902459877,0.9875136345369998,0.8494148437114216
81,new_data\test\image\pexels-photo-119972_0,0.9610443115234375,0.9615726176678658,0.9259892738077983,0.9692317028765627,0.9540336310146053
82,new_data\test\image\pexels-photo-122084_0,0.9820404052734375,0.9827825807112243,0.9661480054071155,0.9949942241047363,0.9708670520231214
83,new_data\test\image\pexels-photo-122101_0,0.978118896484375,0.9655255313010866,0.9333488264001859,0.9434343434343434,0.9886760868494904
84,new_data\test\image\pexels-photo-123335_0,0.975067138671875,0.8636742866677791,0.7600587371512482,0.7785800240673887,0.9696515548894717
85,new_data\test\image\pexels-photo-12628_0,0.993682861328125,0.9968314224923082,0.993682861328125,0.993682861328125,1.0
86,new_data\test\image\pexels-photo-128121_0,0.93389892578125,0.9139861806051942,0.8415971917507679,0.9908304274828877,0.8482034273079049
87,new_data\test\image\pexels-photo-128202_0,0.98187255859375,0.9711986035686578,0.944009802997455,0.9681005316578057,0.9743165677595097
88,new_data\test\image\pexels-photo-134993_0,0.9240570068359375,0.9543591295496437,0.9127025889286466,0.9891269222727014,0.9219525159461375
89,new_data\test\image\pexels-photo-136409_0,0.9932098388671875,0.9925198769561783,0.985150827549386,0.9872592295345104,0.9978368878223544
90,new_data\test\image\pexels-photo-137079_0,0.982757568359375,0.0,0.0,0.0,0.0
91,new_data\test\image\pexels-photo-138329_0,0.971099853515625,0.985338060660484,0.971099853515625,1.0,0.971099853515625
92,new_data\test\image\pexels-photo-141376_0,0.9832763671875,0.5898203592814372,0.4182590233545648,0.5502793296089385,0.635483870967742
93,new_data\test\image\pexels-photo-157023_0,0.9604034423828125,0.8103763244428206,0.6812039312039312,0.9928379588182632,0.6845679012345679
94,new_data\test\image\pexels-photo-167374_0,0.9805908203125,0.9866237617515301,0.973600647531287,0.983871644295302,0.9893913190196988
95,new_data\test\image\pexels-photo-167635_0,0.982391357421875,0.991117474099047,0.982391357421875,1.0,0.982391357421875
96,new_data\test\image\pexels-photo-168890_0,0.992218017578125,0.9731437598736177,0.9476923076923077,0.9967637540453075,0.9506172839506173
